Date,Close/Last,Volume,Open,High,Low
03/11/2016,2010.5,545,1979,2010.9,1978.8
03/10/2016,1988.8,602,1990.6,2010,1987.6
03/09/2016,1988.9,443,1980.2,1993,1979.6
03/08/2016,1980.9,374,1998,1998.7,1980.9
03/07/2016,1999.1,405,1994,1995.7,1984.8
03/04/2016,1994.9,678,1990,2002,1987.3
03/03/2016,1990.5,1089,1981.7,1991.8,1979.4
03/02/2016,1983.6,570,1976,1984.5,1971.3
03/01/2016,1977.9,847,1928.2,1977.5,1921.1
02/29/2016,1929.5,929,1941,1947.4,1928.3
02/26/2016,1942.7,981,1949.7,1968.7,1942.5
02/25/2016,1950.4,693,1932,1951,1921
02/24/2016,1930.2,777,1913.8,1932.8,1896.7
02/23/2016,1916.1,463,1934,1937.4,1914
02/22/2016,1936.3,723,1911.7,1939,1909.5
02/19/2016,1914.5,337,1916.4,1922.2,1903.1
02/18/2016,1916.6,1079,1926.1,1933,1917.3
02/17/2016,1922.7,722,1888,1926.5,1882.5
02/16/2016,1888.8,1506,1864.5,1892.5,1864.5
02/12/2016,1858.3,129,1864.5,1876,1864.5
02/11/2016,1824.5,876,1842.5,1843,1804.2
02/10/2016,1846.7,1008,1852,1871.9,1840
02/09/2016,1848.2,1182,1850.1,1856.4,1828.7
02/08/2016,1852,409,1876,1883.5,1846
02/05/2016,1875.3,599,1905.5,1913.9,1874
02/04/2016,1907.8,N/A,1907.8,1907.8,1907.8
02/03/2016,1908.5,672,1897.5,1909.9,1886.1
02/02/2016,1897.4,766,1897.4,1929,1897.4
02/01/2016,1931.3,694,1931.5,1931.5,1914.1
01/29/2016,1930.1,651,1878.1,1929.9,1877.1
01/28/2016,1880.7,559,1879,1895,1867.7
01/27/2016,1875.1,466,1885,1892.7,1878
01/26/2016,1895.9,1416,1872,1894.3,1851.9
01/25/2016,1870.2,574,1869.7,1904,1869.7
01/22/2016,1899.2,817,1860,1898.8,1857.2
01/21/2016,1861,1358,1856.5,1875,1836.4
01/20/2016,1854.9,564,1874,1875.6,1830
01/19/2016,1872.9,2471,1872,1907,1860
01/15/2016,1875,1595,1867.9,1887,1860
01/14/2016,1914.6,643,1883.6,1913.4,1875
01/13/2016,1881.4,772,1926,1946,1881.4
01/12/2016,1924.9,763,1915.6,1935.8,1900
01/11/2016,1914.2,933,1912.7,1928.5,1895
01/08/2016,1911.5,858,1933,1964.1,1911
01/07/2016,1932.9,980,1987,1988.1,1931.5
01/06/2016,1985.9,839,2011.9,2012,1972
01/05/2016,2011.7,1122,2010,2016.8,1993.1
01/04/2016,2009.1,762,2037.9,2042,1995.1
12/31/2015,2035.4,209,2054.5,2056.5,2035.4
12/30/2015,2054.6,N/A,2054.6,2054.6,2054.6
12/29/2015,2072.8,13,2049.7,2049.7,2048.2
12/28/2015,2048.8,431,2052.4,2053,2041.1
12/25/2015,2051.2,N/A,2051.2,2051.2,2051.2
12/24/2015,2051.2,226,2052.9,2054.8,2049.4
12/23/2015,2053,336,2034.2,2053.1,2033
12/22/2015,2014.9,5,2020.6,2020.9,2016
12/21/2015,2014.9,14,2020.6,2020.9,2015.6
12/18/2015,1991.9,380,1992.7,2028.5,1992.7
12/17/2015,2024.7,448,2060.7,2073,2023.9
12/16/2015,2063.7,401,2037.5,2061.7,2037
12/15/2015,2037.1,588,2016.6,2038.3,2012
12/14/2015,2009.6,551,2002,2018.7,1991.3
12/11/2015,2001.2,475,2046.9,2046.9,1998.1
12/10/2015,2049.3,324,2047.4,2054.8,2044.7
12/09/2015,2042.1,561,2062.5,2067.6,2043.6
12/08/2015,2058.7,370,2080.3,2080.3,2056.7
12/07/2015,2081,461,2092.2,2095,2080.8
12/04/2015,2088.4,803,2056.2,2089.4,2047.3
12/03/2015,2051.2,811,2083,2095,2051.7
12/02/2015,2081.6,369,2099.6,2104.8,2083.4
12/01/2015,2099.9,403,2086.8,2099.7,2083.7
11/30/2015,2079.8,404,2089.7,2094.9,2083
11/27/2015,2089.9,440,2089.4,2097.7,2083.6
11/26/2015,2088.1,N/A,2088.1,2088.1,2088.1
11/25/2015,2088.1,13,2089.4,2091.4,2089.4
11/24/2015,2084.7,397,2082.7,2087.2,2066
11/23/2015,2084.2,275,2088.9,2091.5,2083.5
11/20/2015,2088.7,287,2077.1,2088.9,2077
11/19/2015,2079.2,877,2078,2089.2,2078
11/18/2015,2079.7,427,2048.7,2079.3,2043.3
11/17/2015,2049,1370,2046.3,2058.8,2046
11/16/2015,2048,679,2007.9,2049.9,2000.3
11/13/2015,2018.6,835,2039,2045,2012.5
11/12/2015,2040.6,376,2068,2077.1,2040
11/11/2015,2069,459,2076.5,2086.8,2068.4
11/10/2015,2078.1,754,2072.7,2077.8,2065.1
11/09/2015,2072.9,301,2091.5,2097,2071.9
11/06/2015,2093.7,724,2094.1,2098.2,2083.8
11/05/2015,2094,654,2095.2,2103.8,2092
11/04/2015,2094.7,454,2101.4,2108.8,2094.8
11/03/2015,2102.9,666,2094,2102.5,2089.1
11/02/2015,2095.4,907,2095,2095,2064.7
10/30/2015,2073.7,640,2085.1,2093,2074
10/29/2015,2083,459,2081,2084.9,2072.9
10/28/2015,2084.5,473,2061,2083.4,2060
10/27/2015,2060.4,283,2063.6,2064.4,2055
10/26/2015,2062.3,305,2066,2066.8,2059
10/23/2015,2066,1432,2054,2074.1,2053.3
10/22/2015,2053.1,484,2010.1,2023,2009
10/21/2015,2008.5,350,2017.7,2033.5,2008
10/20/2015,2020.6,296,2025.9,2027,2019.3
10/19/2015,2027.4,601,2024.5,2027.9,2016
