,bit_close,nas_close,eth_close,dow_close,amd_close,snp_close,bnb_close,nvda_close,bit_close**2,eth_close**2
260,0.012589627770786493,7496.89,0.07122776045720267,25339.99,26.34,2768.4,0.3239497907922641,61.634998,0.00015849872740695848,0.005073393859748644
261,0.012197310277436473,7430.74,0.06846460548428643,25250.55,26.26,2749.1,0.31134523851034523,58.845001,0.0001487743780040574,0.004687402204118983
262,0.01219436655691533,7645.49,0.06848469960680889,25798.42,28.18,2817.8,0.3160555626478327,61.4575,0.00014870257572441504,0.00469015408023485
263,0.012456529565927977,7642.7,0.07005557933029688,25706.68,27.299999,2816.2,0.3177491369024684,60.764999,0.00015516512882683784,0.004907784195303519
264,0.012524830762701908,7485.14,0.07097855992467675,25379.45,26.620001,2772.2,0.3208065927120027,59.8825,0.00015687138563432406,0.005037955968980928
265,0.012526758709032563,7449.03,0.07067387958347424,25444.34,23.66,2767.5,0.31998156959237195,57.2925,0.00015691968375432315,0.004994797255379417
266,0.012503047838717737,7468.63,0.07053498700726635,25317.41,25.030001,2756.5,0.3206371877231569,57.805,0.0001563262052572643,0.004975184392115232
267,0.01250366144791681,7437.54,0.07051190111970285,25191.43,25.09,2746.2,0.3193880968847338,55.264999,0.0001563415496041211,0.0049719281995147515
268,0.012492519244954552,7108.4,0.0706366386158885,24583.42,22.790001,2664.3,0.3203331968052184,49.852501,0.00015606303708555984,0.0049895347149516295
269,0.012494631657710637,7318.34,0.07066829566901246,24984.55,19.27,2688.2,0.32120849608941837,51.959999,0.00015611582026186485,0.0049940080127629655
270,0.012507644372494804,7167.21,0.07067734719565473,24688.31,17.629999,2669.6,0.3210363032518646,49.572498,0.00015644116774880094,0.004995287406615124
271,0.012632759592983373,7050.29,0.07164225466420585,24442.92,16.85,2643.6,0.3261185912511937,46.404999,0.00015958661493411342,0.005132612653370924
272,0.01262241519780234,7161.65,0.07149073825411437,24874.64,17.200001,2685.3,0.3263891142888566,50.75,0.00015932536542571148,0.005110925656118291
273,0.012577160099467176,7305.9,0.07123913276474235,25115.76,18.209999,2711.1,0.3267736556433489,52.7075,0.0001581849561676292,0.005075014037072587
274,0.012557924756921319,7434.06,0.07113662607266508,25380.74,20.219999,2738.1,0.323605616423035,54.5275,0.00015770147420049736,0.005060419569002173
275,0.012539107302285236,7356.99,0.07066888833170619,25270.83,20.23,2724.3,0.3232020865704474,53.73,0.00015722921193822293,0.004994091778039159
276,0.012503563902943594,7328.85,0.06931943980839322,25461.7,19.9,2739.6,0.3215365934695524,52.942501,0.00015633911027499405,0.004805184735349451
277,0.01247476626182922,7375.96,0.06787555237755676,25635.01,20.68,2759.0,0.3197514987266497,52.764999,0.00015561979328727256,0.0046070906105584505
278,0.012389671948641802,7570.75,0.06782848887696469,26180.3,21.84,2816.4,0.31916271652388106,53.447498,0.00015350397099496156,0.004600703903332523
