date,ada_close,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7
2019-06-07,0.085807,0.083472,0.083438,0.082486,0.088708,0.089441,0.08451,0.090867
2019-06-10,0.085537,0.085807,0.083472,0.083438,0.082486,0.088708,0.089441,0.08451
2019-06-11,0.087965,0.085537,0.085807,0.083472,0.083438,0.082486,0.088708,0.089441
2019-06-12,0.096525,0.087965,0.085537,0.085807,0.083472,0.083438,0.082486,0.088708
2019-06-13,0.089739,0.096525,0.087965,0.085537,0.085807,0.083472,0.083438,0.082486
2019-06-14,0.090619,0.089739,0.096525,0.087965,0.085537,0.085807,0.083472,0.083438
2019-06-17,0.093557,0.090619,0.089739,0.096525,0.087965,0.085537,0.085807,0.083472
2019-06-18,0.089148,0.093557,0.090619,0.089739,0.096525,0.087965,0.085537,0.085807
2019-06-19,0.089979,0.089148,0.093557,0.090619,0.089739,0.096525,0.087965,0.085537
2019-06-20,0.087385,0.089979,0.089148,0.093557,0.090619,0.089739,0.096525,0.087965
2019-06-21,0.089562,0.087385,0.089979,0.089148,0.093557,0.090619,0.089739,0.096525
2019-06-24,0.097719,0.089562,0.087385,0.089979,0.089148,0.093557,0.090619,0.089739
2019-06-25,0.096357,0.097719,0.089562,0.087385,0.089979,0.089148,0.093557,0.090619
2019-06-26,0.09682,0.096357,0.097719,0.089562,0.087385,0.089979,0.089148,0.093557
2019-06-27,0.086449,0.09682,0.096357,0.097719,0.089562,0.087385,0.089979,0.089148
2019-06-28,0.089295,0.086449,0.09682,0.096357,0.097719,0.089562,0.087385,0.089979
2019-07-01,0.083822,0.089295,0.086449,0.09682,0.096357,0.097719,0.089562,0.087385
2019-07-02,0.081077,0.083822,0.089295,0.086449,0.09682,0.096357,0.097719,0.089562
2019-07-03,0.082998,0.081077,0.083822,0.089295,0.086449,0.09682,0.096357,0.097719
2019-07-05,0.076532,0.082998,0.081077,0.083822,0.089295,0.086449,0.09682,0.096357
2019-07-08,0.080476,0.076532,0.082998,0.081077,0.083822,0.089295,0.086449,0.09682
2019-07-09,0.077993,0.080476,0.076532,0.082998,0.081077,0.083822,0.089295,0.086449
2019-07-10,0.07194,0.077993,0.080476,0.076532,0.082998,0.081077,0.083822,0.089295
2019-07-11,0.065199,0.07194,0.077993,0.080476,0.076532,0.082998,0.081077,0.083822
2019-07-12,0.069754,0.065199,0.07194,0.077993,0.080476,0.076532,0.082998,0.081077
2019-07-15,0.059537,0.069754,0.065199,0.07194,0.077993,0.080476,0.076532,0.082998
2019-07-16,0.052052,0.059537,0.069754,0.065199,0.07194,0.077993,0.080476,0.076532
2019-07-17,0.055239,0.052052,0.059537,0.069754,0.065199,0.07194,0.077993,0.080476
2019-07-18,0.058772,0.055239,0.052052,0.059537,0.069754,0.065199,0.07194,0.077993
2019-07-19,0.059787,0.058772,0.055239,0.052052,0.059537,0.069754,0.065199,0.07194
2019-07-22,0.059466,0.059787,0.058772,0.055239,0.052052,0.059537,0.069754,0.065199
2019-07-23,0.055812,0.059466,0.059787,0.058772,0.055239,0.052052,0.059537,0.069754
2019-07-24,0.059046,0.055812,0.059466,0.059787,0.058772,0.055239,0.052052,0.059537
2019-07-25,0.058664,0.059046,0.055812,0.059466,0.059787,0.058772,0.055239,0.052052
2019-07-26,0.062884,0.058664,0.059046,0.055812,0.059466,0.059787,0.058772,0.055239
2019-07-29,0.060393,0.062884,0.058664,0.059046,0.055812,0.059466,0.059787,0.058772
2019-07-30,0.059944,0.060393,0.062884,0.058664,0.059046,0.055812,0.059466,0.059787
2019-07-31,0.060152,0.059944,0.060393,0.062884,0.058664,0.059046,0.055812,0.059466
2019-08-01,0.058872,0.060152,0.059944,0.060393,0.062884,0.058664,0.059046,0.055812
2019-08-02,0.057412,0.058872,0.060152,0.059944,0.060393,0.062884,0.058664,0.059046
2019-08-05,0.05668,0.057412,0.058872,0.060152,0.059944,0.060393,0.062884,0.058664
2019-08-06,0.053369,0.05668,0.057412,0.058872,0.060152,0.059944,0.060393,0.062884
2019-08-07,0.051906,0.053369,0.05668,0.057412,0.058872,0.060152,0.059944,0.060393
2019-08-08,0.05197,0.051906,0.053369,0.05668,0.057412,0.058872,0.060152,0.059944
2019-08-09,0.047641,0.05197,0.051906,0.053369,0.05668,0.057412,0.058872,0.060152
2019-08-12,0.052938,0.047641,0.05197,0.051906,0.053369,0.05668,0.057412,0.058872
2019-08-13,0.052561,0.052938,0.047641,0.05197,0.051906,0.053369,0.05668,0.057412
2019-08-14,0.047,0.052561,0.052938,0.047641,0.05197,0.051906,0.053369,0.05668
2019-08-15,0.047519,0.047,0.052561,0.052938,0.047641,0.05197,0.051906,0.053369
2019-08-16,0.046841,0.047519,0.047,0.052561,0.052938,0.047641,0.05197,0.051906
2019-08-19,0.050298,0.046841,0.047519,0.047,0.052561,0.052938,0.047641,0.05197
2019-08-20,0.049195,0.050298,0.046841,0.047519,0.047,0.052561,0.052938,0.047641
2019-08-21,0.047113,0.049195,0.050298,0.046841,0.047519,0.047,0.052561,0.052938
2019-08-22,0.04941,0.047113,0.049195,0.050298,0.046841,0.047519,0.047,0.052561
2019-08-23,0.04979,0.04941,0.047113,0.049195,0.050298,0.046841,0.047519,0.047
2019-08-26,0.049697,0.04979,0.04941,0.047113,0.049195,0.050298,0.046841,0.047519
2019-08-27,0.049839,0.049697,0.04979,0.04941,0.047113,0.049195,0.050298,0.046841
2019-08-28,0.045825,0.049839,0.049697,0.04979,0.04941,0.047113,0.049195,0.050298
2019-08-29,0.044697,0.045825,0.049839,0.049697,0.04979,0.04941,0.047113,0.049195
2019-08-30,0.044825,0.044697,0.045825,0.049839,0.049697,0.04979,0.04941,0.047113
2019-09-03,0.046771,0.044825,0.044697,0.045825,0.049839,0.049697,0.04979,0.04941
2019-09-04,0.045517,0.046771,0.044825,0.044697,0.045825,0.049839,0.049697,0.04979
2019-09-05,0.044437,0.045517,0.046771,0.044825,0.044697,0.045825,0.049839,0.049697
2019-09-06,0.044415,0.044437,0.045517,0.046771,0.044825,0.044697,0.045825,0.049839
2019-09-09,0.046931,0.044415,0.044437,0.045517,0.046771,0.044825,0.044697,0.045825
2019-09-10,0.04651,0.046931,0.044415,0.044437,0.045517,0.046771,0.044825,0.044697
2019-09-11,0.04499,0.04651,0.046931,0.044415,0.044437,0.045517,0.046771,0.044825
2019-09-12,0.045452,0.04499,0.04651,0.046931,0.044415,0.044437,0.045517,0.046771
2019-09-13,0.045753,0.045452,0.04499,0.04651,0.046931,0.044415,0.044437,0.045517
2019-09-16,0.047071,0.045753,0.045452,0.04499,0.04651,0.046931,0.044415,0.044437
2019-09-17,0.049008,0.047071,0.045753,0.045452,0.04499,0.04651,0.046931,0.044415
