,nas_close,eth_close,dow_close,ada_close,amd_close,snp_close,bnb_close,nvda_close,eth_close**2,ada_close**2
121,7008.81,0.04711229780689964,23857.71,2.5406090803800074,10.0,2615.7,0.2947775552486477,56.380001,0.0022195686046460007,6.454694499309347
122,6949.23,0.04749144444486849,23848.42,2.4995469981561564,9.81,2622.4,0.2931001548384045,55.337502,0.00225543729546003,6.247735195991453
123,7063.44,0.05137549712937576,24103.11,2.609250115079511,10.05,2643.0,0.3131720223885712,57.897499,0.0026394417052904968,6.808186163042442
124,6870.12,0.050523869653665926,23644.19,2.528729952654126,9.53,2575.0,0.28148695836743476,55.262501,0.0025526614047806247,6.394475173450139
125,6941.28,0.04964353605768154,24033.36,2.4080870281425,9.55,2613.2,0.27358066051814756,56.337502,0.0024644806723103274,5.798883135108177
126,7042.11,0.05175854479725206,24264.3,2.5370906488694605,9.77,2647.0,0.2864118759732509,56.560001,0.002678946959529148,6.4368289605808595
127,7076.55,0.051315935710094414,24505.22,2.5927451742674203,10.02,2661.8,0.28336913456225354,55.345001,0.002633325257802543,6.722327538686996
128,6915.11,0.05124527300172242,23932.76,2.631114352542045,9.61,2605.7,0.28561637688085023,53.5625,0.002626078005021061,6.922762736152745
129,6950.34,0.050015945124167634,23979.1,2.55566482045024,9.53,2619.1,0.29027239896919216,53.852501,0.002501594766663748,6.531422674486957
130,7094.3,0.049177856482640836,24408.0,2.529037236772649,9.98,2655.1,0.28824069893076815,56.977501,0.0024184615682272194,6.396029344982635
